Row F4:92:BF:5D:7C:63 F4:92:BF:5D:7C:8F F4:92:BF:5D:7C:70 F4:92:BF:5D:80:1C 48:27:E2:84:3C:ED 48:27:E2:84:3D:2D 48:27:E2:84:3D:41 48:27:E2:84:3D:01 48:27:E2:84:3C:F9 00:00:00:00:00:00 X Y
45 -58 -59 -57 -85 -69 -45 -51 -47 -58 40 19 1
46 -51 -55 -63 -85 -72 -57 -55 -53 -62 35 20 1
47 -51 -59 -60 -80 -77 -50 -64 -45 -71 46 21 1
48 -50 -61 -64 -90 -77 -52 -59 -50 -74 13 22 1
49 -55 -62 -68 -95 -71 -62 -59 -45 -68 22 23 1
50 -59 -62 -67 -78 -84 -60 -63 -52 -62 16 24 1
51 -67 -63 -61 -87 -75 -60 -61 -54 -65 20 25 1
52 -55 -38 -73 -103 -62 -65 -72 -60 -48 32 0 2
53 -54 -47 -63 -105 -57 -59 -56 -53 -47 19 1 2
54 -54 -36 -67 -105 -59 -61 -57 -63 -41 61 2 2
55 -47 -46 -60 -102 -59 -54 -55 -60 -50 19 3 2
56 -52 -44 -62 -96 -61 -57 -50 -59 -42 30 4 2
57 -52 -43 -61 -100 -56 -62 -54 -61 -40 34 5 2
58 -40 -50 -52 -103 -59 -62 -59 -55 -42 7 6 2
59 -52 -52 -70 -104 -59 -62 -50 -58 -54 83 7 2
60 -43 -50 -66 -107 -64 -50 -42 -55 -48 39 8 2
61 -31 -51 -54 -106 -57 -45 -30 -54 -51 28 9 2
62 -30 -48 -54 -98 -55 -46 -39 -54 -52 31 10 2
63 -37 -50 -61 -99 -70 -56 -46 -53 -56 35 11 2
64 -36 -58 -59 -102 -81 -43 -65 -50 -60 40 12 2
65 -36 -62 -65 -106 -73 -43 -60 -54 -62 34 13 2
66 -44 -53 -54 -97 -67 -41 -46 -66 -55 38 14 2
67 -49 -56 -58 -92 -74 -44 -52 -51 -58 37 15 2
68 -50 -56 -57 -105 -69 -46 -51 -46 -63 33 16 2
69 -43 -59 -54 -100 -70 -49 -55 -52 -60 67 17 2
70 -56 -61 -61 -102 -73 -49 -50 -39 -63 34 18 2
71 -50 -56 -58 -96 -65 -50 -57 -43 -58 41 19 2
72 -50 -55 -62 -82 -74 -56 -58 -49 -64 39 20 2
73 -63 -54 -57 -88 -72 -52 -58 -48 -65 37 21 2
74 -58 -65 -68 -84 -81 -51 -63 -47 -62 30 22 2
75 -51 -64 -59 -90 -71 -56 -62 -53 -62 31 23 2
76 -57 -63 -73 -85 -78 -55 -62 -67 -63 17 24 2
77 -59 -61 -66 -83 -89 -54 -61 -58 -77 39 25 2
78 -46 -35 -66 -104 -63 -64 -49 -63 -43 34 0 3
79 -52 -40 -68 -108 -61 -62 -62 -67 -43 32 1 3
80 -47 -47 -62 -107 -57 -63 -61 -67 -44 32 2 3
81 -55 -47 -66 -103 -53 -56 -52 -62 -41 26 3 3
82 -45 -44 -68 -101 -53 -55 -52 -62 -43 32 4 3
83 -43 -47 -63 -102 -61 -60 -44 -70 -46 36 5 3
84 -47 -46 -60 -104 -52 -53 -49 -62 -48 27 6 3
85 -44 -46 -61 -99 -60 -56 -49 -60 -56 31 7 3
86 -39 -44 -68 -103 -60 -66 -45 -67 -46 37 8 3
87 -34 -46 -58 -105 -56 -56 -33 -52 -49 32 9 3
88 -37 -48 -56 -97 -57 -57 -60 -52 -56 33 10 3
89 -35 -48 -55 -93 -74 -48 -42 -60 -48 29 11 3
90 -38 -55 -63 -99 -63 -40 -49 -59 -49 40 12 3
91 -42 -55 -68 -98 -65 -45 -55 -55 -52 38 13 3
92 -36 -56 -53 -100 -63 -41 -50 -46 -61 38 14 3
93 -44 -56 -63 -100 -64 -39 -49 -48 -64 40 15 3
94 -47 -51 -56 -88 -66 -46 -56 -46 -58 39 16 3
95 -51 -50 -55 -94 -70 -47 -57 -49 -60 38 17 3
96 -49 -59 -55 -90 -74 -71 -54 -45 -64 40 18 3
97 -53 -53 -60 -90 -70 -49 -57 -47 -71 40 19 3
98 -56 -54 -59 -86 -75 -55 -59 -46 -63 40 20 3
99 -53 -57 -64 -86 -79 -62 -56 -52 -59 37 21 3
100 -54 -59 -63 -100 -79 -54 -58 -46 -60 36 22 3
101 -58 -56 -69 -92 -71 -54 -62 -51 -58 33 23 3
102 -59 -59 -69 -77 -80 -63 -65 -60 -58 11 24 3
103 -55 -57 -71 -80 -72 -56 -59 -49 -64 27 25 3
104 -47 -35 -91 -108 -56 -53 -56 -69 -42 44 0 4
105 -54 -40 -69 -107 -67 -63 -68 -56 -34 35 1 4
106 -49 -47 -63 -108 -71 -62 -49 -73 -8 53 2 4
107 -49 -35 -64 -109 -64 -57 -52 -53 -42 27 3 4
108 -47 -38 -61 -106 -56 -52 -53 -56 -45 37 4 4
109 -50 -42 -66 -103 -68 -56 -48 -64 -48 39 5 4
110 -46 -49 -68 -103 -60 -54 -51 -59 -52 30 6 4
111 -44 -49 -58 -107 -76 -50 -55 -57 -58 29 7 4
112 -45 -51 -63 -107 -57 -48 -51 -57 -52 31 8 4
113 -43 -49 -59 -95 -58 -66 -53 -51 -62 32 9 4
114 -36 -49 -58 -104 -61 -43 -43 -51 -56 33 10 4
115 -34 -54 -56 -90 -64 -48 -51 -50 -57 33 11 4
116 -46 -54 -59 -106 -65 -47 -63 -50 -54 38 12 4
117 -35 -63 -61 -109 -70 -44 -50 -49 -51 38 13 4
118 -50 -56 -59 -101 -67 -43 -45 -43 -64 40 14 4
119 -45 -55 -56 -86 -78 -41 -59 -42 -55 44 15 4
120 -43 -54 -58 -85 -64 -44 -51 -43 -63 43 16 4
121 -44 -53 -57 -80 -68 -47 -56 -39 -63 40 17 4
122 -46 -57 -64 -87 -69 -44 -53 -39 -64 41 18 4
123 -43 -61 -53 -86 -72 -48 -62 -39 -58 39 19 4
124 -50 -62 -63 -79 -73 -51 -55 -46 -63 41 20 4
125 -52 -62 -58 -81 -77 -51 -56 -43 -57 41 21 4
126 -52 -67 -64 -87 -71 -61 -70 -47 -65 63 22 4
127 -58 -61 -67 -88 -80 -54 -65 -51 -68 21 23 4
128 -56 -64 -70 -75 -86 -70 -61 -49 -77 37 24 4
129 -58 -65 -66 -74 -81 -57 -66 -55 -69 37 25 4
130 -48 -37 -65 -110 -61 -60 -50 -54 -49 61 0 5
131 -50 -33 -71 -108 -63 -54 -57 -60 -47 43 1 5
132 -50 -35 -69 -110 -56 -59 -50 -58 -43 40 2 5
133 -47 -44 -69 -109 -63 -54 -61 -69 -47 37 3 5
134 -49 -36 -74 -109 -63 -55 -56 -56 -38 42 4 5
135 -45 -44 -62 -108 -54 -54 -52 -55 -58 43 5 5
136 -41 -55 -62 -110 -63 -54 -61 -61 -50 31 6 5
137 -43 -43 -66 -108 -70 -56 -48 -49 -54 31 7 5
138 -37 -48 -60 -109 -55 -48 -59 -59 -56 29 8 5
139 -45 -54 -56 -89 -62 -52 -45 -57 -55 29 9 5
140 -36 -52 -55 -83 -66 -48 -51 -56 -52 32 10 5
141 -43 -49 -63 -97 -65 -49 -50 -52 -54 37 11 5
142 -39 -45 -57 -101 -67 -54 -42 -55 -59 40 12 5
143 -41 -55 -61 -102 -75 -52 -45 -50 -55 34 13 5
144 -49 -55 -59 -94 -65 -48 -43 -48 -57 39 14 5
145 -54 -52 -60 -87 -66 -37 -51 -47 -64 59 15 5
146 -46 -62 -57 -79 -79 -47 -62 -42 -59 55 16 5
147 -50 -57 -50 -86 -71 -54 -59 -44 -52 45 17 5
148 -46 -61 -58 -89 -77 -47 -51 -36 -63 36 18 5
149 -52 -58 -57 -85 -68 -54 -63 -42 -59 40 19 5
150 -53 -61 -56 -87 -77 -50 -61 -49 -57 38 20 5
151 -47 -61 -60 -87 -75 -55 -61 -45 -60 33 21 5
152 -53 -66 -68 -93 -79 -58 -59 -48 -55 33 22 5
153 -55 -64 -70 -90 -81 -58 -61 -43 -53 32 23 5
154 -59 -65 -67 -77 -76 -64 -62 -56 -57 33 24 5
155 -56 -69 -66 -87 -80 -54 -60 -54 -54 53 25 5
156 -56 -35 -68 -107 -51 -58 -57 -60 -49 69 0 6
